"model","condition","kappa","n_items","outcome"
"Llama-4","A_batch_conf",0.946513872951612,3000,"HS"
"Llama-4","A_conf",0.964439876944194,3000,"HS"
"Llama-4","B",0.98957407242418,3000,"HS"
"Llama-4","B_batch",0.982109017290693,3000,"HS"
"Llama-4","B_batch_conf",0.943608783204877,3000,"HS"
"Llama-4","B_conf",0.980180068431515,3000,"HS"
"Llama-4","C.HS",0.977475099426319,3000,"HS"
"Llama-4","C.HS_batch",0.976766237858544,3000,"HS"
"Llama-4","C.HS_batch_conf",0.970382788699432,3000,"HS"
"Llama-4","C.HS_conf",0.97811547249358,3000,"HS"
"Mistral-Large-3","A",0.939682083089366,3000,"HS"
"Mistral-Large-3","A_batch",0.922066824488988,3000,"HS"
"Mistral-Large-3","A_batch_conf",0.921440111003377,3000,"HS"
"Mistral-Large-3","A_conf",0.939686171650598,3000,"HS"
"Mistral-Large-3","B",0.928737520649285,3000,"HS"
"Mistral-Large-3","B_batch",0.909515075793761,3000,"HS"
"Mistral-Large-3","B_batch_conf",0.911055821750596,3000,"HS"
"Mistral-Large-3","B_conf",0.908070203585003,3000,"HS"
"Mistral-Large-3","C.HS",0.909747511090759,3000,"HS"
"Mistral-Large-3","C.HS_batch",0.938595683276534,3000,"HS"
"Mistral-Large-3","C.HS_batch_conf",0.933334079245733,3000,"HS"
"Mistral-Large-3","C.HS_conf",0.9259844688103,3000,"HS"
"Mistral-Medium-3.5","A",0.888480095733982,3000,"HS"
"Mistral-Medium-3.5","A_batch",0.85101707713665,3000,"HS"
"Mistral-Medium-3.5","A_batch_conf",0.860528739437504,3000,"HS"
"Mistral-Medium-3.5","A_conf",0.876016009111773,3000,"HS"
"Mistral-Medium-3.5","B",0.904059891466588,3000,"HS"
"Mistral-Medium-3.5","B_batch",0.853859053794379,3000,"HS"
"Mistral-Medium-3.5","B_batch_conf",0.847952598980981,3000,"HS"
"Mistral-Medium-3.5","B_conf",0.882381739851712,3000,"HS"
"Mistral-Medium-3.5","C.HS",0.814778106853852,3000,"HS"
"Mistral-Medium-3.5","C.HS_batch",0.839388026042398,3000,"HS"
"Mistral-Medium-3.5","C.HS_batch_conf",0.867959981717536,3000,"HS"
"Mistral-Medium-3.5","C.HS_conf",0.822825211910297,3000,"HS"
