outcome,model,term,est,se,p,icc,n
OL,Llama-3.1-70B,(Intercept),0.8015092592560727,0.0064948216063965055,0,0.7267861106464694,108000
OL,Llama-3.1-70B,joint_OL_first,-8.055555554104156e-4,0.00158485020092296,0.6112545685875278,0.7267861106464694,108000
OL,Llama-3.1-70B,joint_HS_first,0.0017500000001451396,0.00158485020092296,0.2695066191546834,0.7267861106464694,108000
OL,Llama-3.1-70B,confidence,0.027759259259259265,0.0012940247703362184,7.266997713241912e-102,0.7267861106464694,108000
OL,Llama-3.1-70B,batched,-0.05305555555555555,0.0012940247703362184,0,0.7267861106464694,108000
OL,Llama-4,(Intercept),0.831277777772504,0.006334992129263248,0,0.7823053553260099,108000
OL,Llama-4,joint_OL_first,0.02013888888909742,0.0013386645390451204,4.2732114012510176e-51,0.7823053553260099,108000
OL,Llama-4,joint_HS_first,0.006250000000208534,0.0013386645390451204,3.0329056588950764e-6,0.7823053553260099,108000
OL,Llama-4,confidence,0.013555555555555019,0.001093015019139539,2.698835576777103e-35,0.7823053553260099,108000
OL,Llama-4,batched,-0.058555555555562,0.0010930150191395393,0,0.7823053553260099,108000
HS,GPT-4o-mini,(Intercept),0.4338333333322182,0.008317333327679456,0,0.848314472777387,108000
HS,GPT-4o-mini,joint_OL_first,-0.05511111111111387,0.001418323358423895,0,0.848314472777387,108000
HS,GPT-4o-mini,joint_HS_first,-0.03277777777778054,0.0014183233584238954,7.207765446231255e-118,0.848314472777387,108000
HS,GPT-4o-mini,confidence,0.019666666666666652,0.0011580561728030407,1.350880459285137e-64,0.848314472777387,108000
HS,GPT-4o-mini,batched,-0.03277777777776919,0.0011580561728030355,1.4112761657734992e-175,0.848314472777387,108000
HS,GPT-5.4,(Intercept),0.1700277777777752,0.006537112653166108,3.0375369576837024e-135,0.8243128478229093,108000
HS,GPT-5.4,joint_OL_first,0.013916666666666268,0.0012142264892660893,2.1506881545408535e-30,0.8243128478229093,108000
HS,GPT-5.4,joint_HS_first,0.004111111111110713,0.0012142264892660893,7.100068233706279e-4,0.8243128478229093,108000
HS,GPT-5.4,confidence,-0.015407407407407338,9.914117769576438e-4,2.1098933110595016e-54,0.8243128478229093,108000
HS,GPT-5.4,batched,0.03551851851852169,9.914117769576395e-4,2.1264092760114365e-279,0.8243128478229093,108000
