"model","outcome","cond_a","cond_b","kappa"
"Mistral-Large-3","OL","A_batch","B_conf",0.469684764513184
"Mistral-Large-3","OL","A_batch","C.OL",0.664528393585611
"Mistral-Large-3","OL","A_batch","C.OL_batch",0.89498841753437
"Mistral-Large-3","OL","A_batch","C.OL_batch_conf",0.846882052579372
"Mistral-Large-3","OL","A_batch","C.OL_conf",0.657836593033413
"Mistral-Large-3","OL","A_batch_conf","A_conf",0.56201253617452
"Mistral-Large-3","OL","A_batch_conf","B",0.605005910702919
"Mistral-Large-3","OL","A_batch_conf","B_batch",0.721349217950592
"Mistral-Large-3","OL","A_batch_conf","B_batch_conf",0.783449937213295
"Mistral-Large-3","OL","A_batch_conf","B_conf",0.521611133413622
"Mistral-Large-3","OL","A_batch_conf","C.OL",0.620307563082663
"Mistral-Large-3","OL","A_batch_conf","C.OL_batch",0.778304660736122
"Mistral-Large-3","OL","A_batch_conf","C.OL_batch_conf",0.861096243736588
"Mistral-Large-3","OL","A_batch_conf","C.OL_conf",0.663482057848255
"Mistral-Large-3","OL","A_conf","B",0.70608071160366
"Mistral-Large-3","OL","A_conf","B_batch",0.504238674153628
"Mistral-Large-3","OL","A_conf","B_batch_conf",0.582603012388224
"Mistral-Large-3","OL","A_conf","B_conf",0.874848955636113
"Mistral-Large-3","OL","A_conf","C.OL",0.602867159761665
"Mistral-Large-3","OL","A_conf","C.OL_batch",0.500817957942599
"Mistral-Large-3","OL","A_conf","C.OL_batch_conf",0.547301800765606
"Mistral-Large-3","OL","A_conf","C.OL_conf",0.724230115369143
"Mistral-Large-3","OL","B","B_batch",0.611039602104448
"Mistral-Large-3","OL","B","B_batch_conf",0.662233760729045
"Mistral-Large-3","OL","B","B_conf",0.681933842239186
"Mistral-Large-3","OL","B","C.OL",0.774840501539638
"Mistral-Large-3","OL","B","C.OL_batch",0.580477919554044
"Mistral-Large-3","OL","B","C.OL_batch_conf",0.624707667024841
"Mistral-Large-3","OL","B","C.OL_conf",0.775506956442666
"Mistral-Large-3","OL","B_batch","B_batch_conf",0.841661570717218
"Mistral-Large-3","OL","B_batch","B_conf",0.465811965811966
"Mistral-Large-3","OL","B_batch","C.OL",0.686428366302346
"Mistral-Large-3","OL","B_batch","C.OL_batch",0.799583351511714
"Mistral-Large-3","OL","B_batch","C.OL_batch_conf",0.779167319374097
"Mistral-Large-3","OL","B_batch","C.OL_conf",0.687088875895337
"Mistral-Large-3","OL","B_batch_conf","B_conf",0.556267154620311
"Mistral-Large-3","OL","B_batch_conf","C.OL",0.684758295376841
"Mistral-Large-3","OL","B_batch_conf","C.OL_batch",0.751764365385044
"Mistral-Large-3","OL","B_batch_conf","C.OL_batch_conf",0.790530535591751
"Mistral-Large-3","OL","B_batch_conf","C.OL_conf",0.732195484482715
"Mistral-Large-3","OL","B_conf","C.OL",0.556449312567745
"Mistral-Large-3","OL","B_conf","C.OL_batch",0.46357686943461
"Mistral-Large-3","OL","B_conf","C.OL_batch_conf",0.496095877973488
"Mistral-Large-3","OL","B_conf","C.OL_conf",0.682189214505553
"Mistral-Large-3","OL","C.OL","C.OL_batch",0.646490477807338
"Mistral-Large-3","OL","C.OL","C.OL_batch_conf",0.658448664603512
"Mistral-Large-3","OL","C.OL","C.OL_conf",0.786346699483814
"Mistral-Large-3","OL","C.OL_batch","C.OL_batch_conf",0.865843544746167
"Mistral-Large-3","OL","C.OL_batch","C.OL_conf",0.649954727478087
"Mistral-Large-3","OL","C.OL_batch_conf","C.OL_conf",0.687785135004256
"Mistral-Medium-3.5","OL","A","A_batch",0.758514380468643
"Mistral-Medium-3.5","OL","A","A_batch_conf",0.650179907476155
"Mistral-Medium-3.5","OL","A","A_conf",0.869871764538873
"Mistral-Medium-3.5","OL","A","B",0.910589597738342
"Mistral-Medium-3.5","OL","A","B_batch",0.793840872773186
"Mistral-Medium-3.5","OL","A","B_batch_conf",0.786089461199593
"Mistral-Medium-3.5","OL","A","B_conf",0.896551582863206
"Mistral-Medium-3.5","OL","A","C.OL",0.897574922854304
"Mistral-Medium-3.5","OL","A","C.OL_batch",0.715562943298179
"Mistral-Medium-3.5","OL","A","C.OL_batch_conf",0.701923642073268
"Mistral-Medium-3.5","OL","A","C.OL_conf",0.905477380326144
"Mistral-Medium-3.5","OL","A_batch","A_batch_conf",0.694360043868323
"Mistral-Medium-3.5","OL","A_batch","A_conf",0.763996528465064
"Mistral-Medium-3.5","OL","A_batch","B",0.751415437780507
"Mistral-Medium-3.5","OL","A_batch","B_batch",0.833376708285462
"Mistral-Medium-3.5","OL","A_batch","B_batch_conf",0.833675897879706
"Mistral-Medium-3.5","OL","A_batch","B_conf",0.774525518985148
"Mistral-Medium-3.5","OL","A_batch","C.OL",0.735814412745256
"Mistral-Medium-3.5","OL","A_batch","C.OL_batch",0.792152830477
"Mistral-Medium-3.5","OL","A_batch","C.OL_batch_conf",0.790712463072824
"Mistral-Medium-3.5","OL","A_batch","C.OL_conf",0.766992438443878
"Mistral-Medium-3.5","OL","A_batch_conf","A_conf",0.612982787573468
"Mistral-Medium-3.5","OL","A_batch_conf","B",0.670069479486085
"Mistral-Medium-3.5","OL","A_batch_conf","B_batch",0.670663924022933
"Mistral-Medium-3.5","OL","A_batch_conf","B_batch_conf",0.747061090768934
"Mistral-Medium-3.5","OL","A_batch_conf","B_conf",0.646648803440052
"Mistral-Medium-3.5","OL","A_batch_conf","C.OL",0.666753527902502
"Mistral-Medium-3.5","OL","A_batch_conf","C.OL_batch",0.697866123126319
"Mistral-Medium-3.5","OL","A_batch_conf","C.OL_batch_conf",0.735850134216689
"Mistral-Medium-3.5","OL","A_batch_conf","C.OL_conf",0.64400636165255
"Mistral-Medium-3.5","OL","A_conf","B",0.850387794835786
"Mistral-Medium-3.5","OL","A_conf","B_batch",0.815632837944072
"Mistral-Medium-3.5","OL","A_conf","B_batch_conf",0.77355792150008
"Mistral-Medium-3.5","OL","A_conf","B_conf",0.894715286953968
"Mistral-Medium-3.5","OL","A_conf","C.OL",0.816942202551419
"Mistral-Medium-3.5","OL","A_conf","C.OL_batch",0.731092565186214
"Mistral-Medium-3.5","OL","A_conf","C.OL_batch_conf",0.708197290178078
"Mistral-Medium-3.5","OL","A_conf","C.OL_conf",0.893473612445381
"Mistral-Medium-3.5","OL","B","B_batch",0.785423431095971
"Mistral-Medium-3.5","OL","B","B_batch_conf",0.791583108921102
"Mistral-Medium-3.5","OL","B","B_conf",0.897261979875801
"Mistral-Medium-3.5","OL","B","C.OL",0.884905504468028
"Mistral-Medium-3.5","OL","B","C.OL_batch",0.699718920567824
"Mistral-Medium-3.5","OL","B","C.OL_batch_conf",0.687063592084199
"Mistral-Medium-3.5","OL","B","C.OL_conf",0.872985818831969
"Mistral-Medium-3.5","OL","B_batch","B_batch_conf",0.869815820855969
"Mistral-Medium-3.5","OL","B_batch","B_conf",0.810574943704033
"Mistral-Medium-3.5","OL","B_batch","C.OL",0.76288687770526
"Mistral-Medium-3.5","OL","B_batch","C.OL_batch",0.808229285264504
"Mistral-Medium-3.5","OL","B_batch","C.OL_batch_conf",0.789895243543964
"Mistral-Medium-3.5","OL","B_batch","C.OL_conf",0.80136172191933
"Mistral-Medium-3.5","OL","B_batch_conf","B_conf",0.788275634140296
"Mistral-Medium-3.5","OL","B_batch_conf","C.OL",0.782117495158167
"Mistral-Medium-3.5","OL","B_batch_conf","C.OL_batch",0.784459386183711
"Mistral-Medium-3.5","OL","B_batch_conf","C.OL_batch_conf",0.792443239579803
"Mistral-Medium-3.5","OL","B_batch_conf","C.OL_conf",0.792783334254296
