model,condition,task_structure,batched,confidence,group_type,OL_prev,HS_prev,elicited_OL,elicited_HS,n_labels
Llama-4,C.OL_conf,C.OL,0,1,conf,0.8294444444444444,0,1,0,9000
Mistral-Large-3,A,A,0,0,base,0.863,0.3662222222222222,1,1,9000
Mistral-Large-3,A_batch,A,1,0,batch,0.7993333333333333,0.4126666666666667,1,1,9000
Mistral-Large-3,A_batch_conf,A,1,1,batch_conf,0.8585555555555555,0.45011111111111113,1,1,9000
Mistral-Large-3,A_conf,A,0,1,conf,0.9116666666666666,0.4068888888888889,1,1,9000
Mistral-Large-3,B,B,0,0,base,0.8711111111111111,0.272,1,1,9000
Mistral-Large-3,B_batch,B,1,0,batch,0.7886666666666666,0.33344444444444443,1,1,9000
Mistral-Large-3,B_batch_conf,B,1,1,batch_conf,0.8338888888888889,0.34144444444444444,1,1,9000
Mistral-Large-3,B_conf,B,0,1,conf,0.9202222222222223,0.2378888888888889,1,1,9000
Mistral-Large-3,C.HS,C.HS,0,0,base,0,0.242,0,1,9000
Mistral-Large-3,C.HS_batch,C.HS,1,0,batch,2.2222222222222223e-4,0.329,0,1,9000
Mistral-Large-3,C.HS_batch_conf,C.HS,1,1,batch_conf,7.777777777777777e-4,0.392,0,1,9000
Mistral-Large-3,C.HS_conf,C.HS,0,1,conf,0,0.2061111111111111,0,1,9000
Mistral-Large-3,C.OL,C.OL,0,0,base,0.818,0,1,0,9000
Mistral-Large-3,C.OL_batch,C.OL,1,0,batch,0.7974444444444444,0,1,0,9000
Mistral-Large-3,C.OL_batch_conf,C.OL,1,1,batch_conf,0.8338888888888889,0,1,0,9000
Mistral-Large-3,C.OL_conf,C.OL,0,1,conf,0.8571111111111112,0,1,0,9000
Mistral-Medium-3.5,A,A,0,0,base,0.7987777777777778,0.32166666666666666,1,1,9000
Mistral-Medium-3.5,A_batch,A,1,0,batch,0.777,0.2761111111111111,1,1,9000
Mistral-Medium-3.5,A_batch_conf,A,1,1,batch_conf,0.8613333333333333,0.3068888888888889,1,1,9000
Mistral-Medium-3.5,A_conf,A,0,1,conf,0.7638888888888888,0.30377777777777776,1,1,9000
Mistral-Medium-3.5,B,B,0,0,base,0.8093333333333333,0.39311111111111113,1,1,9000
Mistral-Medium-3.5,B_batch,B,1,0,batch,0.7654444444444445,0.31133333333333335,1,1,9000
Mistral-Medium-3.5,B_batch_conf,B,1,1,batch_conf,0.8056666666666666,0.3184444444444444,1,1,9000
Mistral-Medium-3.5,B_conf,B,0,1,conf,0.7893333333333333,0.37844444444444447,1,1,9000
Mistral-Medium-3.5,C.HS,C.HS,0,0,base,0,0.30444444444444446,0,1,9000
Mistral-Medium-3.5,C.HS_batch,C.HS,1,0,batch,0,0.35988888888888887,0,1,9000
Mistral-Medium-3.5,C.HS_batch_conf,C.HS,1,1,batch_conf,0,0.3233333333333333,0,1,9000
Mistral-Medium-3.5,C.HS_conf,C.HS,0,1,conf,0,0.32355555555555554,0,1,9000
Mistral-Medium-3.5,C.OL,C.OL,0,0,base,0.8203333333333334,0,1,0,9000
Mistral-Medium-3.5,C.OL_batch,C.OL,1,0,batch,0.7786666666666666,0,1,0,9000
Mistral-Medium-3.5,C.OL_batch_conf,C.OL,1,1,batch_conf,0.7995555555555556,0,1,0,9000
Mistral-Medium-3.5,C.OL_conf,C.OL,0,1,conf,0.7893333333333333,0,1,0,9000
